detector,n,accuracy,macro_f1,p_benign,p_sqli,p_xss,r_benign,r_sqli,r_xss,f_benign,f_sqli,f_xss,xss_correct,xss_total,cm,cond
logistic_regression_normalized_clean,263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34,34,"[[145, 0, 0], [0, 84, 0], [0, 0, 34]]",clean
logistic_regression_normalized_obf,263,0.9962,0.9931,1.0,0.9882,1.0,1.0,1.0,0.9706,1.0,0.9941,0.9851,33,34,"[[145, 0, 0], [0, 84, 0], [0, 1, 33]]",obf
naive_bayes_normalized_clean,263,0.9924,0.9937,0.9864,1.0,1.0,1.0,0.9762,1.0,0.9932,0.988,1.0,34,34,"[[145, 0, 0], [2, 82, 0], [0, 0, 34]]",clean
naive_bayes_normalized_obf,263,0.9886,0.9868,0.9864,0.988,1.0,1.0,0.9762,0.9706,0.9932,0.982,0.9851,33,34,"[[145, 0, 0], [2, 82, 0], [0, 1, 33]]",obf
svm_normalized_clean,263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34,34,"[[145, 0, 0], [0, 84, 0], [0, 0, 34]]",clean
svm_normalized_obf,263,0.9962,0.9931,1.0,0.9882,1.0,1.0,1.0,0.9706,1.0,0.9941,0.9851,33,34,"[[145, 0, 0], [0, 84, 0], [0, 1, 33]]",obf
signature_normalized_clean,263,0.7795,0.7563,0.7143,1.0,1.0,1.0,0.4167,0.7353,0.8333,0.5882,0.8475,25,34,"[[145, 0, 0], [49, 35, 0], [9, 0, 25]]",clean
signature_normalized_obf,263,0.7757,0.7516,0.7108,1.0,1.0,1.0,0.4048,0.7353,0.8309,0.5763,0.8475,25,34,"[[145, 0, 0], [50, 34, 0], [9, 0, 25]]",obf
signature_naive_clean,263,0.7719,0.7467,0.7073,1.0,1.0,1.0,0.3929,0.7353,0.8286,0.5641,0.8475,25,34,"[[145, 0, 0], [51, 33, 0], [9, 0, 25]]",clean
signature_naive_obf,263,0.6578,0.4928,0.617,1.0,1.0,1.0,0.2619,0.1765,0.7632,0.4151,0.3,6,34,"[[145, 0, 0], [62, 22, 0], [28, 0, 6]]",obf
